,prompt,layer,head,head_output,model
7,The president lives in the,5,7,"[ 4.2833853   4.1947885   1.2936537  ...  0.41331077 -3.4087293
  4.379513  ]",gpt2-small
8,The president lives in the,5,8,"[ 3.3604598   3.5811114   2.9773061  ... -1.012147   -0.41932997
  3.4400067 ]",gpt2-small
9,The president lives in the,5,9,[2.9189095 4.9639378 2.6467304 ... 0.8746022 0.1762746 4.166292 ],gpt2-small
10,The president lives in the,5,10,[ 4.248048   4.1917534  2.3197434 ... -1.8119861 -1.0379977  4.807393 ],gpt2-small
11,The president lives in the,5,11,"[ 3.6425176   3.2402163   1.1790708  ...  0.38958275 -2.1258173
  3.9983723 ]",gpt2-small
0,The president lives in the,6,0,[ 4.062278   2.6452665  1.6927378 ... -2.7335312 -0.3242988  4.4700394],gpt2-small
1,The president lives in the,6,1,"[ 4.3295393   4.2734995   1.4282115  ... -0.649392   -0.17036933
  4.5302114 ]",gpt2-small
2,The president lives in the,6,2,"[ 3.4090383   5.428274    1.3076354  ... -0.2614904  -0.80804265
  4.1341333 ]",gpt2-small
3,The president lives in the,6,3,"[ 3.8665576   4.4500585   2.352403   ... -0.76098216 -0.9661451
  4.827508  ]",gpt2-small
4,The president lives in the,6,4,[ 3.8568008  4.580311   2.3111641 ... -0.8630724 -1.1913929  4.2214828],gpt2-small
5,The president lives in the,6,5,"[ 3.1192837   4.3452363   1.9766513  ...  0.60088515 -1.2724425
  4.1785045 ]",gpt2-small
6,The president lives in the,6,6,"[ 2.4060378   3.3035467   1.5346289  ... -0.19838756 -0.45762452
  3.2436132 ]",gpt2-small
7,The president lives in the,6,7,"[ 4.461546    4.6867776   2.767941   ... -1.9814774  -0.42047757
  5.14743   ]",gpt2-small
8,The president lives in the,6,8,"[ 4.2921557   3.7510939   1.8214974  ... -0.5442351  -0.33417147
  3.9724817 ]",gpt2-small
9,The president lives in the,6,9,"[ 4.850544    4.730122    2.7145274  ... -1.1338408  -0.61990875
  5.009896  ]",gpt2-small
10,The president lives in the,6,10,"[ 3.834263    4.225023    2.570185   ... -0.30920082 -0.40420645
  4.8092813 ]",gpt2-small
11,The president lives in the,6,11,[ 4.8043795  4.557082   2.2249274 ... -1.3765178 -0.8766122  3.89072  ],gpt2-small
0,The president lives in the,7,0,"[ 4.900359    5.0931277   2.918818   ... -1.2905123  -0.68928427
  3.2958012 ]",gpt2-small
1,The president lives in the,7,1,[ 3.8838732  4.2784457  2.1505156 ... -0.6506559 -0.961833   3.802533 ],gpt2-small
2,The president lives in the,7,2,"[ 3.61196     3.8495364   1.7495205  ... -0.9918241  -0.57323176
  4.213492  ]",gpt2-small
3,The president lives in the,7,3,[ 4.987799   5.2803063  3.508153  ... -1.2300866 -1.403892   3.6332393],gpt2-small
4,The president lives in the,7,4,"[ 3.8192227   4.282154    2.0284686  ... -0.8619491  -0.56550986
  4.880763  ]",gpt2-small
5,The president lives in the,7,5,[ 3.6969433  4.035921   2.347069  ... -1.7187704 -1.038692   3.7975936],gpt2-small
6,The president lives in the,7,6,"[ 4.5989084   4.8197703   2.7589922  ...  0.03795159 -1.0361874
  3.9152632 ]",gpt2-small
7,The president lives in the,7,7,"[ 3.3662965   3.7788856   1.7682943  ... -0.6197863  -0.66582084
  4.374546  ]",gpt2-small
8,The president lives in the,7,8,[ 4.526818   4.2736816  1.1750531 ... -1.144218   1.444268   4.9469547],gpt2-small
9,The president lives in the,7,9,"[ 2.8471267   4.034705    0.97290003 ... -0.58352625 -0.8764824
  4.627472  ]",gpt2-small
10,The president lives in the,7,10,[ 4.535534   4.255596   2.334008  ... -1.1997811 -1.1777632  4.1945367],gpt2-small
11,The president lives in the,7,11,"[ 4.675802    4.3726783   2.426422   ... -0.6001322  -0.03183258
  4.184152  ]",gpt2-small
0,The president lives in the,8,0,"[ 2.4050667   3.7112687   2.0037189  ... -0.9526916  -0.79100525
  3.130249  ]",gpt2-small
1,The president lives in the,8,1,"[ 4.4841566   4.7138963   2.0068264  ... -0.84810054 -0.34544435
  4.4147286 ]",gpt2-small
2,The president lives in the,8,2,"[ 3.563536    5.0733695   1.91844    ... -0.20499241 -0.47158498
  4.691277  ]",gpt2-small
3,The president lives in the,8,3,"[ 3.3123097   3.1799886   1.4959335  ... -0.6792158  -0.84723103
  4.5263934 ]",gpt2-small
4,The president lives in the,8,4,[ 5.0786304  4.526805   2.4230955 ... -0.8982042 -1.074991   4.9924107],gpt2-small
5,The president lives in the,8,5,"[ 6.8144865   3.089455    1.1100205  ... -0.6916206  -0.54996747
  5.5501    ]",gpt2-small
6,The president lives in the,8,6,"[ 4.5093865   4.5514026   2.4423585  ... -0.46356535  0.15579402
  4.4725447 ]",gpt2-small
7,The president lives in the,8,7,"[ 3.7848074e+00  3.0288413e+00  2.6100974e+00 ... -1.8085601e+00
  2.7441978e-03  3.2447014e+00]",gpt2-small
8,The president lives in the,8,8,[4.2762403 4.3020906 1.3691392 ... 0.2476641 1.0264397 4.6764097],gpt2-small
9,The president lives in the,8,9,[ 5.120919   5.4016094  1.8509636 ... -1.5236578 -1.0062404  2.8232698],gpt2-small
10,The president lives in the,8,10,[ 2.752161   4.7518454  4.6059866 ... -1.8819187 -4.001959   4.468811 ],gpt2-small
11,The president lives in the,8,11,"[ 3.6514683   4.127544    2.976935   ... -1.9524751  -0.43851405
  4.5509744 ]",gpt2-small
0,The president lives in the,9,0,"[ 4.0518475   4.1703835   1.9060168  ... -1.8888199  -0.36942095
  3.9518485 ]",gpt2-small
1,The president lives in the,9,1,"[ 4.5991306e+00  4.5029073e+00  2.7867081e+00 ... -6.3238460e-01
 -2.7312636e-03  5.0098886e+00]",gpt2-small
2,The president lives in the,9,2,"[ 4.163666    4.2456937   2.026358   ... -0.51930714  0.626508
  4.415827  ]",gpt2-small
3,The president lives in the,9,3,"[ 4.4328384   4.5889025   0.69351447 ... -1.2087778   3.3779836
  1.7028432 ]",gpt2-small
4,The president lives in the,9,4,"[ 3.9208956   2.7379012   1.9675069  ... -0.90759504 -0.63494253
  5.080368  ]",gpt2-small
5,The president lives in the,9,5,[ 3.733353   4.397751   2.6584551 ... -1.1428566 -1.5820421  3.3549948],gpt2-small
6,The president lives in the,9,6,[ 3.6107504  3.7849162  1.6083434 ... -0.9936279 -1.3832858  3.6232328],gpt2-small
7,The president lives in the,9,7,"[ 4.713486    4.836959    2.203728   ... -0.50012493 -0.5423331
  4.010649  ]",gpt2-small
8,The president lives in the,9,8,[ 3.885717   4.9230194  3.654985  ... -1.3777674 -0.9700742  4.798303 ],gpt2-small
9,The president lives in the,9,9,[ 3.9147143  4.057295   2.604043  ... -2.254395  -0.8055936  4.4742417],gpt2-small
10,The president lives in the,9,10,[3.6960576  3.958851   2.1939976  ... 0.67530334 0.24276888 3.9350793 ],gpt2-small
11,The president lives in the,9,11,"[ 4.2206864   3.948342    0.68243337 ... -0.33953947 -0.1143176
  3.707092  ]",gpt2-small
0,The president lives in the,10,0,"[ 3.893568    4.6486926   2.3514738  ... -0.33002818 -1.2518785
  4.7145243 ]",gpt2-small
1,The president lives in the,10,1,"[ 4.664872    4.024112    2.0668035  ... -0.50000215 -0.15862668
  4.6511292 ]",gpt2-small
2,The president lives in the,10,2,"[ 4.4653654   4.9572296  -0.28819513 ... -0.47755376  0.33992922
  4.4179454 ]",gpt2-small
3,The president lives in the,10,3,"[ 4.2814775   5.681105    2.298004   ... -1.0543449  -0.19905671
  3.891115  ]",gpt2-small
4,The president lives in the,10,4,"[ 3.2769744   0.65471363  1.0687711  ... -0.7341683  -0.2477876
  1.7647033 ]",gpt2-small
5,The president lives in the,10,5,"[ 4.758275    4.418335    1.9486743  ... -0.34266794 -0.3001763
  4.267199  ]",gpt2-small
6,The president lives in the,10,6,[ 4.670938   4.472952   2.4532104 ... -5.2618895  3.037728   4.8341494],gpt2-small
7,The president lives in the,10,7,[ 3.3557336  4.5144777  2.9474955 ...  0.7345604 -3.0739663  3.8369129],gpt2-small
8,The president lives in the,10,8,"[ 3.2147775   3.758799    1.5394461  ... -0.83498853 -0.7191794
  3.9085171 ]",gpt2-small
9,The president lives in the,10,9,"[ 3.6425343   4.1804533   0.86176765 ... -1.41591     0.23508275
  3.4669275 ]",gpt2-small
10,The president lives in the,10,10,[ 3.917216   3.9001105  2.0874803 ... -1.8889289 -1.4030263  3.9180574],gpt2-small
11,The president lives in the,10,11,[3.6773024  2.8493752  0.786679   ... 1.8651133  0.89136124 3.5061383 ],gpt2-small
0,The president lives in the,11,0,[10.525632   5.1567774  1.5197939 ... -0.7260783  2.7065444 -3.4821749],gpt2-small
1,The president lives in the,11,1,[ 4.1653533  4.678258   2.3176615 ... -2.5445814 -1.3885889  5.217008 ],gpt2-small
2,The president lives in the,11,2,"[ 4.8203316   4.9698124   3.013875   ... -1.0837858   0.08323044
  5.964159  ]",gpt2-small
3,The president lives in the,11,3,"[ 3.603586    4.7424645   3.3372927  ... -1.265234    0.49214947
  5.6858826 ]",gpt2-small
4,The president lives in the,11,4,[ 3.0618026  2.3792644 -1.61728   ... -1.5608305 -1.0098447  2.2722344],gpt2-small
5,The president lives in the,11,5,"[ 3.4053996   3.943293    1.4705825  ... -0.95396876 -0.21886843
  3.7203841 ]",gpt2-small
6,The president lives in the,11,6,"[ 3.8262253   4.6418085   2.2715342  ... -0.64487374 -0.19068265
  4.759382  ]",gpt2-small
7,The president lives in the,11,7,[ 2.590736   4.0567174  3.126574  ... -0.2569567 -0.6606927  4.544052 ],gpt2-small
8,The president lives in the,11,8,"[ 3.713678    6.669344    3.6494958  ... -2.6915765  -0.41239145
 10.699869  ]",gpt2-small
9,The president lives in the,11,9,"[ 4.921071    4.9577827   2.751857   ... -2.2368157  -0.42572325
  4.6326346 ]",gpt2-small
10,The president lives in the,11,10,"[ 2.353721    2.9934206  -0.52886605 ... -0.47833586 -0.4805107
  3.3791676 ]",gpt2-small
11,The president lives in the,11,11,"[ 4.213635    3.324409    1.1564384  ... -0.7664114   0.23179018
  4.6432843 ]",gpt2-small
0,St. Peter's Basilica is in the city of,0,0,"[ 3.3991616   4.4199      1.9388624  ... -0.37935525 -0.27471295
  3.9259596 ]",gpt2-small
1,St. Peter's Basilica is in the city of,0,1,[ 2.9002695  3.5146751  0.2717942 ... -2.862659  -2.6154823  4.6154685],gpt2-small
2,St. Peter's Basilica is in the city of,0,2,"[ 4.719546    4.6118593   2.4197383  ... -0.62309223 -0.5990772
  4.3701544 ]",gpt2-small
3,St. Peter's Basilica is in the city of,0,3,"[ 2.6304512   3.279178    0.5674608  ... -0.09498143  0.67902374
  2.7406697 ]",gpt2-small
4,St. Peter's Basilica is in the city of,0,4,"[ 3.8850546   4.2240524   2.7095363  ... -0.8752403  -0.83009315
  4.2077856 ]",gpt2-small
5,St. Peter's Basilica is in the city of,0,5,"[ 2.70172     3.9131362   1.643177   ... -0.35954988 -0.39299673
  3.9408984 ]",gpt2-small
6,St. Peter's Basilica is in the city of,0,6,"[ 4.2134867   3.861094    2.4388962  ...  0.26407146 -2.038339
  5.0369587 ]",gpt2-small
7,St. Peter's Basilica is in the city of,0,7,[ 3.1344626  4.082022   2.2849193 ... -1.4129171 -1.49052    3.8277416],gpt2-small
8,St. Peter's Basilica is in the city of,0,8,"[ 3.041952    4.881186    1.516298   ... -3.381142    0.25583613
  2.7128181 ]",gpt2-small
9,St. Peter's Basilica is in the city of,0,9,[ 1.9373918  3.1225147  2.3849401 ... -1.7590071  4.2012324  1.3392813],gpt2-small
10,St. Peter's Basilica is in the city of,0,10,"[ 6.064912    4.780692    2.4461527  ...  0.14200282 -1.7943628
  4.6433897 ]",gpt2-small
11,St. Peter's Basilica is in the city of,0,11,"[ 3.718834    5.9891543   3.6640499  ...  0.23676205 -1.816923
  2.8076982 ]",gpt2-small
0,St. Peter's Basilica is in the city of,1,0,"[ 3.6737666   4.287589    1.9917405  ... -0.6575012  -0.15960383
  4.276311  ]",gpt2-small
1,St. Peter's Basilica is in the city of,1,1,[ 3.7097602  3.8655117  1.2777201 ... -1.5783732 -1.0740974  3.465434 ],gpt2-small
2,St. Peter's Basilica is in the city of,1,2,[ 2.7704515  2.1274228  2.0481777 ... -0.3634963  1.5416305  2.8723598],gpt2-small
3,St. Peter's Basilica is in the city of,1,3,[ 4.986925   5.4981537  3.626567  ... -0.8841102  0.5576767  4.545434 ],gpt2-small
4,St. Peter's Basilica is in the city of,1,4,"[ 2.6380167   4.0299892   1.579385   ... -0.38410866 -2.0712051
  3.7512548 ]",gpt2-small
5,St. Peter's Basilica is in the city of,1,5,"[ 2.776234    0.9779682   0.37130606 ... -0.88922465  0.3834448
  3.268581  ]",gpt2-small
6,St. Peter's Basilica is in the city of,1,6,"[ 2.43721     3.372445    2.6467655  ... -0.59536445 -1.8078766
  5.084765  ]",gpt2-small
7,St. Peter's Basilica is in the city of,1,7,"[ 5.051861    6.1240797   2.4905221  ... -1.5876797   0.66464615
  3.5256815 ]",gpt2-small
8,St. Peter's Basilica is in the city of,1,8,[ 4.7277384  5.1121373  2.323822  ... -1.0844326 -1.4821777  4.3414106],gpt2-small
9,St. Peter's Basilica is in the city of,1,9,[ 3.8767679  4.3624396  1.7947528 ... -0.8329555 -0.878663   3.928845 ],gpt2-small
10,St. Peter's Basilica is in the city of,1,10,"[ 2.372797    2.6027427   1.7624403  ... -0.75757754  0.74664164
  3.8454697 ]",gpt2-small
11,St. Peter's Basilica is in the city of,1,11,[ 3.128983   4.9299474  3.4149117 ... -0.9498463 -1.9205867  3.9632535],gpt2-small
0,St. Peter's Basilica is in the city of,2,0,"[ 5.2838855   4.919001    1.9170328  ... -2.0884645   0.09208167
  5.5640388 ]",gpt2-small
1,St. Peter's Basilica is in the city of,2,1,"[ 3.8654099   4.018917    2.1902149  ... -0.97787106 -0.17898029
  4.0921264 ]",gpt2-small
2,St. Peter's Basilica is in the city of,2,2,"[ 4.0752764   4.7190294   1.8554573  ... -0.27555776  0.09445316
  5.369894  ]",gpt2-small
3,St. Peter's Basilica is in the city of,2,3,[ 3.356635   2.805769   2.9951303 ... -1.0141646 -1.652293   4.252964 ],gpt2-small
4,St. Peter's Basilica is in the city of,2,4,[ 4.3305216  4.1613674  1.6210753 ... -1.0639925 -0.4001599  4.7516613],gpt2-small
5,St. Peter's Basilica is in the city of,2,5,"[ 4.8863916   5.124166    1.4921905  ... -0.54781365 -0.46297368
  4.936592  ]",gpt2-small
6,St. Peter's Basilica is in the city of,2,6,"[ 2.5718715   4.474735    0.8074764  ... -0.75108385 -1.7096134
  3.5684881 ]",gpt2-small
7,St. Peter's Basilica is in the city of,2,7,[ 4.8646345  5.153737   3.210736  ... -1.561855  -0.4713132  3.8478613],gpt2-small
8,St. Peter's Basilica is in the city of,2,8,"[ 3.3910463   3.8644753   0.9457996  ... -3.021568   -0.70771426
  3.5605845 ]",gpt2-small
9,St. Peter's Basilica is in the city of,2,9,"[ 3.0021095   3.9449522   3.0101016  ... -0.59243214  0.35562885
  2.5873928 ]",gpt2-small
10,St. Peter's Basilica is in the city of,2,10,[ 2.7212925  2.099965   2.517361  ...  1.0649245 -1.3994021  1.6187234],gpt2-small
11,St. Peter's Basilica is in the city of,2,11,"[ 4.542421    4.797253    1.3709042  ... -1.1340487  -0.20843622
  5.0294347 ]",gpt2-small
0,St. Peter's Basilica is in the city of,3,0,[ 4.070954   3.7611096  1.248607  ... -1.5550251 -1.7080854  3.9414907],gpt2-small
1,St. Peter's Basilica is in the city of,3,1,"[ 3.2712386   3.0512142   2.4264297  ... -0.27297986 -0.8256279
  4.095797  ]",gpt2-small
2,St. Peter's Basilica is in the city of,3,2,[ 3.9816513  4.268264   2.0394459 ... -3.0603485 -1.0487226  4.9338226],gpt2-small
3,St. Peter's Basilica is in the city of,3,3,"[ 3.5647368   3.8854194   0.68557286 ...  0.03782862 -1.3615327
  4.8849697 ]",gpt2-small
4,St. Peter's Basilica is in the city of,3,4,[ 3.7644901  5.239492   2.9617393 ... -0.5950744  0.5645751  4.439515 ],gpt2-small
5,St. Peter's Basilica is in the city of,3,5,"[ 3.5700712   4.0598407   2.3712084  ... -2.3343334  -0.78997695
  4.7137513 ]",gpt2-small
6,St. Peter's Basilica is in the city of,3,6,"[ 4.138029    4.5007334   3.1291409  ... -0.76343286 -0.4679705
  4.3659835 ]",gpt2-small
7,St. Peter's Basilica is in the city of,3,7,"[ 3.6073937   3.8603492   3.3302484  ... -0.36116302  0.5992465
  3.4934912 ]",gpt2-small
8,St. Peter's Basilica is in the city of,3,8,"[ 4.61096     4.4575095   1.410164   ... -1.643623   -0.58533204
  4.366933  ]",gpt2-small
9,St. Peter's Basilica is in the city of,3,9,[ 4.307456   5.0201693  2.0907195 ... -1.9147073 -1.1943097  3.5303566],gpt2-small
10,St. Peter's Basilica is in the city of,3,10,[3.543138  3.4890761 1.1639392 ... 2.4098601 0.6636261 3.4320307],gpt2-small
11,St. Peter's Basilica is in the city of,3,11,"[ 4.3929024   3.8116517   1.6992221  ... -0.77023876 -1.066823
  4.088116  ]",gpt2-small
0,St. Peter's Basilica is in the city of,4,0,"[ 4.2271247   3.4113922  -0.10529637 ... -0.6378307  -0.8221916
  4.9354277 ]",gpt2-small
1,St. Peter's Basilica is in the city of,4,1,"[ 3.8792632   4.491666    1.2845294  ... -0.0129596   0.42544734
  4.9277697 ]",gpt2-small
2,St. Peter's Basilica is in the city of,4,2,"[ 3.3122184   3.6203678   1.7646666  ... -0.9050084  -0.88927853
  4.083697  ]",gpt2-small
3,St. Peter's Basilica is in the city of,4,3,"[ 3.7128325   4.323343    4.4723625  ... -1.2658443   0.39507103
  3.503769  ]",gpt2-small
4,St. Peter's Basilica is in the city of,4,4,"[ 4.400383    4.058069    2.5257235  ...  0.05631566 -1.3497663
  4.1450586 ]",gpt2-small
5,St. Peter's Basilica is in the city of,4,5,[ 4.963832   4.7657666  1.5512443 ... -1.3061866 -1.004981   5.3696637],gpt2-small
6,St. Peter's Basilica is in the city of,4,6,[ 3.7906873  4.053279   1.3798054 ... -1.1100342 -0.469961   3.9190145],gpt2-small
7,St. Peter's Basilica is in the city of,4,7,[2.0547972  2.776269   0.5219412  ... 0.78896284 0.00340593 3.0188713 ],gpt2-small
8,St. Peter's Basilica is in the city of,4,8,"[ 3.8751545   4.0777845   2.132759   ... -0.48442617 -0.5997828
  4.226229  ]",gpt2-small
9,St. Peter's Basilica is in the city of,4,9,"[ 4.6655464   4.14495     1.9630032  ... -1.968281   -0.78391665
  4.5935035 ]",gpt2-small
10,St. Peter's Basilica is in the city of,4,10,[ 4.5625777  4.5584393  2.3781683 ... -1.3606857 -1.1700763  4.5740848],gpt2-small
11,St. Peter's Basilica is in the city of,4,11,"[ 3.930965    4.242347    1.8459638  ... -0.34350723  0.29199928
  4.3920918 ]",gpt2-small
0,St. Peter's Basilica is in the city of,5,0,[ 4.1636386  4.04217    2.1972299 ... -0.6033417 -0.6742593  4.3624396],gpt2-small
1,St. Peter's Basilica is in the city of,5,1,[ 4.343856   4.6659894  2.4793012 ... -1.8511469 -0.8017862  4.076886 ],gpt2-small
2,St. Peter's Basilica is in the city of,5,2,[ 3.934824   3.9345121  2.4794617 ... -0.9744205 -1.2982897  3.7817168],gpt2-small
3,St. Peter's Basilica is in the city of,5,3,[ 3.3430367  4.3684483  1.7930706 ... -1.8652592 -0.8984155  3.6585846],gpt2-small
4,St. Peter's Basilica is in the city of,5,4,[ 3.614369   4.740944   2.4689946 ... -1.8983498 -0.5336919  4.677005 ],gpt2-small
5,St. Peter's Basilica is in the city of,5,5,[ 4.313192   4.990218   2.4388487 ... -1.8891778 -1.4272392  4.087813 ],gpt2-small
6,St. Peter's Basilica is in the city of,5,6,"[ 3.7359133   3.7513072   2.6390054  ... -0.26974666  0.26780438
  4.2160344 ]",gpt2-small
7,St. Peter's Basilica is in the city of,5,7,[ 5.6889977  4.7189083  1.0318029 ... -3.270021  -1.0863656  4.0396786],gpt2-small
8,St. Peter's Basilica is in the city of,5,8,"[ 3.7952762e+00  3.8890944e+00  3.0988169e+00 ... -1.0679826e+00
 -3.0763745e-03  3.7435708e+00]",gpt2-small
